rule,old_F_present,old_F_confidence,old_F_support,old_M_present,young_F_present,young_F_confidence,young_F_support,young_M_present,old_M_confidence,old_M_support,young_M_confidence,young_M_support
(eda_max_low) => eda_max_low is-finished-by eda_scr_amp_low,False,,,False,False,,,True,,,0.6429,0.6429
(eda_max_low) => eda_max_low is-finished-by eda_scr_auc_low,False,,,False,False,,,True,,,0.5357,0.5357
(eda_max_low) => eda_max_low is-finished-by eda_scr_auc_medium,True,0.6471,0.6111,True,False,,,True,0.6977,0.6977,0.7857,0.7857
(eda_max_low) => eda_max_low is-finished-by eda_std_high,False,,,False,False,,,True,,,0.5714,0.5714
(eda_max_low) => eda_max_low is-finished-by hr_high,False,,,False,True,0.5806,0.5625,False,,,,
(eda_max_low) => eda_max_low is-finished-by hr_medium,True,0.5882,0.5556,False,False,,,False,,,,
(eda_max_low) => eda_max_low meets arousal_medium,True,0.7059,0.6667,False,True,0.5484,0.5312,False,,,,
(eda_max_low) => eda_max_low meets eda_low,False,,,False,True,0.6129,0.5938,False,,,,
(eda_max_low) => eda_max_low meets eda_max_low,False,,,False,True,0.7097,0.6875,True,,,0.75,0.75
(eda_max_low) => eda_max_low meets eda_scr_amp_low,False,,,False,True,0.5806,0.5625,False,,,,
(eda_max_low) => eda_max_low meets eda_scr_auc_high,False,,,True,False,,,False,0.6744,0.6744,,
(eda_max_low) => eda_max_low meets eda_scr_auc_medium,False,,,False,True,0.5806,0.5625,False,,,,
(eda_max_low) => eda_max_low meets eda_std_high,False,,,True,False,,,False,0.5581,0.5581,,
(eda_max_low) => eda_max_low meets eda_std_low,False,,,False,False,,,True,,,0.5714,0.5714
(eda_max_low) => eda_max_low meets hr_medium,False,,,False,True,0.5161,0.5,False,,,,
(eda_max_low) => eda_max_low starts eda_scr_auc_high,False,,,False,True,0.5484,0.5312,False,,,,
(eda_max_medium) => eda_max_medium before arousal_medium,False,,,True,False,,,False,0.6341,0.6047,,
(eda_max_medium) => eda_max_medium before eda_max_medium,False,,,True,False,,,False,0.5366,0.5116,,
(eda_max_medium) => eda_max_medium before eda_medium,False,,,True,False,,,False,0.7073,0.6744,,
(eda_max_medium) => eda_max_medium before eda_peaks_high,False,,,True,False,,,True,0.5122,0.4884,0.68,0.6071
(eda_max_medium) => eda_max_medium before eda_scr_amp_medium,False,,,True,False,,,False,0.5854,0.5581,,
(eda_max_medium) => eda_max_medium before eda_scr_auc_low,False,,,True,False,,,False,0.5854,0.5581,,
(eda_max_medium) => eda_max_medium before valence_medium,False,,,True,False,,,False,0.6098,0.5814,,
(eda_max_medium) => eda_max_medium contains eda_peaks_medium,False,,,False,True,0.5806,0.5625,True,,,0.64,0.5714
(eda_max_medium) => eda_max_medium contains eda_scr_amp_low,False,,,False,True,0.5161,0.5,False,,,,
(eda_max_medium) => eda_max_medium contains eda_scr_auc_high,True,0.5294,0.5,False,False,,,False,,,,
(eda_max_medium) => eda_max_medium contains eda_scr_auc_medium,True,0.7059,0.6667,False,False,,,True,,,0.64,0.5714
(eda_max_medium) => eda_max_medium contains eda_std_high,False,,,False,True,0.6452,0.625,False,,,,
(eda_max_medium) => eda_max_medium contains eda_std_medium,False,,,False,False,,,True,,,0.56,0.5
(eda_max_medium) => eda_max_medium contains hr_high,False,,,False,True,0.6452,0.625,False,,,,
(eda_max_medium) => eda_max_medium equals eda_medium,False,,,False,False,,,True,,,0.6,0.5357
(eda_max_medium) => eda_max_medium equals eda_peaks_medium,True,0.7647,0.7222,True,False,,,False,0.7073,0.6744,,
(eda_max_medium) => eda_max_medium equals eda_scr_amp_high,False,,,True,True,0.5161,0.5,False,0.5122,0.4884,,
(eda_max_medium) => eda_max_medium equals valence_medium,False,,,False,False,,,True,,,0.8,0.7143
(eda_max_medium) => eda_max_medium is-finished-by eda_peaks_high,False,,,False,True,0.7742,0.75,False,,,,
